txt,name,source_link,doc_type,dictionary_type
"""_I know no way of judging of the Future but by the Past_.""",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  --_Patrick Henry_.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
REPORT,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"of a select committee of the Senate of Ohio, in 1857, on a bill proposed",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
to protect the passenger pigeon.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
       *        *        *        *        *,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"""The passenger pigeon needs no protection. Wonderfully prolific, having",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"the vast forests of the North as its breeding grounds, traveling",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"hundreds of miles in search of food, it is here to-day and elsewhere",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"to-morrow, and no ordinary destruction can lessen them, or be missed",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"from the myriads that are yearly produced.""",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"""The snipe (_Scolopax wilsonii_) needs no protection.... The snipe, too,",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"like the pigeon, will take care of itself, and its yearly numbers can",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"not be materially lessened by the gun.""",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
[Illustration: THE LAST LIVING PASSENGER PIGEON,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
Now in the Cincinnati Zoological Gardens. Twenty years old in 1912.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"Copyright 1911, by Enno Meyer.]",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
       *        *        *        *        *,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
THE FOLLY OF 1857 AND THE LESSON OF 1912,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
       *        *        *        *        *,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
            OUR VANISHING,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
              WILD LIFE,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
                 ITS,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
   EXTERMINATION AND PRESERVATION,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
                 BY,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"      WILLIAM T. HORNADAY, Sc.D.",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
