"stakeholder","name","topic","total_topic","total_sent","prop"
"advocates","Africa Open Science and Hardware","1",5,9,0.5555555555555556
"advocates","Africa Open Science and Hardware","2",4,9,0.4444444444444444
"advocates","Africa Open Science and Hardware","3",NA,NA,0
"advocates","Africa Open Science and Hardware","4",NA,NA,0
"advocates","Amelica","1",7,13,0.5384615384615384
"advocates","Amelica","2",1,13,0.07692307692307693
"advocates","Amelica","3",1,13,0.07692307692307693
"advocates","Amelica","4",4,13,0.3076923076923077
"advocates","Bioline International","1",7,11,0.6363636363636364
"advocates","Bioline International","2",3,11,0.2727272727272727
"advocates","Bioline International","3",1,11,0.09090909090909091
"advocates","Bioline International","4",NA,NA,0
"advocates","Center for Open Science","1",9,17,0.5294117647058824
"advocates","Center for Open Science","2",3,17,0.17647058823529413
"advocates","Center for Open Science","3",4,17,0.23529411764705882
"advocates","Center for Open Science","4",1,17,0.058823529411764705
"advocates","coalitionS","1",2,5,0.4
"advocates","coalitionS","2",3,5,0.6
"advocates","coalitionS","3",NA,NA,0
"advocates","coalitionS","4",NA,NA,0
"advocates","CoData","1",2,5,0.4
"advocates","CoData","2",NA,NA,0
"advocates","CoData","3",3,5,0.6
"advocates","CoData","4",NA,NA,0
"advocates","Coko","1",1,13,0.07692307692307693
"advocates","Coko","2",7,13,0.5384615384615384
"advocates","Coko","3",1,13,0.07692307692307693
"advocates","Coko","4",4,13,0.3076923076923077
"advocates","COPDESS","1",2,4,0.5
"advocates","COPDESS","2",1,4,0.25
"advocates","COPDESS","3",NA,NA,0
"advocates","COPDESS","4",1,4,0.25
"advocates","DataCite","1",3,12,0.25
"advocates","DataCite","2",9,12,0.75
"advocates","DataCite","3",NA,NA,0
"advocates","DataCite","4",NA,NA,0
"advocates","DOAJ","1",3,5,0.6
"advocates","DOAJ","2",2,5,0.4
"advocates","DOAJ","3",NA,NA,0
"advocates","DOAJ","4",NA,NA,0
"advocates","FAIRsharing","1",21,25,0.84
"advocates","FAIRsharing","2",1,25,0.04
"advocates","FAIRsharing","3",NA,NA,0
"advocates","FAIRsharing","4",3,25,0.12
"advocates","FORCE11","1",2,16,0.125
"advocates","FORCE11","2",10,16,0.625
"advocates","FORCE11","3",1,16,0.0625
"advocates","FORCE11","4",3,16,0.1875
"advocates","FOSTER","1",15,19,0.7894736842105263
"advocates","FOSTER","2",NA,NA,0
"advocates","FOSTER","3",4,19,0.21052631578947367
"advocates","FOSTER","4",NA,NA,0
"advocates","Free our knowledge","1",NA,NA,0
"advocates","Free our knowledge","2",11,13,0.8461538461538461
"advocates","Free our knowledge","3",2,13,0.15384615384615385
"advocates","Free our knowledge","4",NA,NA,0
"advocates","Gitlab","1",1,26,0.038461538461538464
"advocates","Gitlab","2",6,26,0.23076923076923078
"advocates","Gitlab","3",19,26,0.7307692307692307
"advocates","Gitlab","4",NA,NA,0
"advocates","Jisc","1",2,2,1
"advocates","Jisc","2",NA,NA,0
"advocates","Jisc","3",NA,NA,0
"advocates","Jisc","4",NA,NA,0
"advocates","Open Access Australasia","1",15,18,0.8333333333333334
"advocates","Open Access Australasia","2",1,18,0.05555555555555555
"advocates","Open Access Australasia","3",1,18,0.05555555555555555
"advocates","Open Access Australasia","4",1,18,0.05555555555555555
"advocates","Peer Community In","1",7,36,0.19444444444444445
"advocates","Peer Community In","2",2,36,0.05555555555555555
"advocates","Peer Community In","3",NA,NA,0
"advocates","Peer Community In","4",27,36,0.75
"advocates","RDA","1",7,12,0.5833333333333334
"advocates","RDA","2",4,12,0.3333333333333333
"advocates","RDA","3",1,12,0.08333333333333333
"advocates","RDA","4",NA,NA,0
"advocates","Reference Center for Environmental Information","1",NA,NA,0
"advocates","Reference Center for Environmental Information","2",2,2,1
"advocates","Reference Center for Environmental Information","3",NA,NA,0
"advocates","Reference Center for Environmental Information","4",NA,NA,0
