present_in_dict,word,present_BUS,present_UNESCO,present_book,sum
1,vocabulary,0,1,0,1
1,visualisation,0,1,0,1
1,verification,0,1,0,1
1,verifiable,0,1,0,1
1,usable,0,1,0,1
1,uptake,0,1,0,1
1,underrepresent,0,1,0,1
1,unambiguously,0,1,0,1
1,transnational,0,1,0,1
1,thematic,0,1,0,1
1,textual,0,1,0,1
1,testbed,0,1,0,1
1,terminology,0,1,0,1
1,taxonomy,0,1,0,1
1,takeintoaccountthefactthatdiversityofdisciplinesrequiresdifferent,0,1,0,1
1,tailor,0,1,0,1
1,subsystem,0,1,0,1
1,strategically,0,1,0,1
1,stipulate,0,1,0,1
1,stack,0,1,0,1
1,specificity,0,1,0,1
1,sovereignty,0,1,0,1
1,solidarity,0,1,0,1
1,signify,0,1,0,1
1,sids,0,1,0,1
1,sensor,0,1,0,1
1,semantic,0,1,0,1
1,sdgs,0,1,0,1
1,scientometrics,0,1,0,1
1,scientifically,0,1,0,1
1,schema,0,1,0,1
1,rigour,0,1,0,1
1,rigorous,0,1,0,1
1,richness,0,1,0,1
1,reviewer,0,1,0,1
1,resilience,0,1,0,1
1,repurpose,0,1,0,1
1,replication,0,1,0,1
1,remix,0,1,0,1
1,redistribution,0,1,0,1
1,redistribute,0,1,0,1
1,recruitment,0,1,0,1
1,reagent,0,1,0,1
1,pursuance,0,1,0,1
1,pseudonymizing,0,1,0,1
1,proportionate,0,1,0,1
1,professionalisation,0,1,0,1
1,preprints,0,1,0,1
1,predictable,0,1,0,1
1,preamble,0,1,0,1
1,popularisation,0,1,0,1
1,pluralism,0,1,0,1
1,planetary,0,1,0,1
1,plagiarism,0,1,0,1
1,pictorial,0,1,0,1
1,physic,0,1,0,1
1,philanthropist,0,1,0,1
1,pertain,0,1,0,1
1,paywalled,0,1,0,1
1,pathway,0,1,0,1
1,outset,0,1,0,1
1,outreach,0,1,0,1
1,openscience,0,1,0,1
1,ongoing,0,1,0,1
1,nrens,0,1,0,1
1,nren,0,1,0,1
1,nonetheless,0,1,0,1
1,multimedia,0,1,0,1
1,multilingualism,0,1,0,1
1,multidisciplinary,0,1,0,1
1,modifiable,0,1,0,1
1,misinterpretation,0,1,0,1
1,misconduct,0,1,0,1
1,mindful,0,1,0,1
1,mediate,0,1,0,1
1,magistrate,0,1,0,1
1,lldcs,0,1,0,1
1,librarian,0,1,0,1
1,learner,0,1,0,1
1,ldcs,0,1,0,1
1,lab,0,1,0,1
1,journalism,0,1,0,1
1,isc,0,1,0,1
1,interpretation,0,1,0,1
1,interoperate,0,1,0,1
1,internationally,0,1,0,1
1,interdisciplinary,0,1,0,1
1,interconnectedness,0,1,0,1
1,interact,0,1,0,1
1,infringe,0,1,0,1
1,incubator,0,1,0,1
1,inclusivity,0,1,0,1
1,impactful,0,1,0,1
1,icsu,0,1,0,1
1,graphical,0,1,0,1
1,globally,0,1,0,1
1,fragmentation,0,1,0,1
1,foundational,0,1,0,1
1,formulation,0,1,0,1
1,formal,0,1,0,1
1,zzzz,1,0,0,1
1,zvi,1,0,0,1
1,zuckerberg,1,0,0,1
1,zopa,1,0,0,1
1,zomma,1,0,0,1
1,zk,1,0,0,1
1,zig,1,0,0,1
1,zew,1,0,0,1
1,zeta,1,0,0,1
1,zcash,1,0,0,1
1,zbb,1,0,0,1
1,zba,1,0,0,1
1,zakat,1,0,0,1
1,zag,1,0,0,1
1,yuppie,1,0,0,1
1,yugen,1,0,0,1
1,ytw,1,0,0,1
1,ytm,1,0,0,1
1,ytd,1,0,0,1
1,yrt,1,0,0,1
1,yoy,1,0,0,1
1,yoc,1,0,0,1
1,ympe,1,0,0,1
1,yawn,1,0,0,1
1,yacht,1,0,0,1
1,xvg,1,0,0,1
1,xrt,1,0,0,1
1,xof,1,0,0,1
1,xml,1,0,0,1
1,xetra,1,0,0,1
1,xenocurrency,1,0,0,1
1,xd,1,0,0,1
1,xcd,1,0,0,1
1,xbrl,1,0,0,1
1,wto,1,0,0,1
1,wti,1,0,0,1
1,wtc,1,0,0,1
1,wse,1,0,0,1
1,wraparound,1,0,0,1
1,wppda,1,0,0,1
1,wpi,1,0,0,1
1,worldcom,1,0,0,1
1,workable,1,0,0,1
1,wordpress,1,0,0,1
1,worden,1,0,0,1
1,wolfe,1,0,0,1
1,winsorized,1,0,0,1
1,wilshire,1,0,0,1
1,willie,1,0,0,1
1,wildcatting,1,0,0,1
1,wilcoxon,1,0,0,1
1,wi,1,0,0,1
1,whitewash,1,0,0,1
1,whitemail,1,0,0,1
1,whistleblower,1,0,0,1
1,whipsaw,1,0,0,1
1,whfit,1,0,0,1
1,whartonite,1,0,0,1
1,wgc,1,0,0,1
1,westpac,1,0,0,1
1,weo,1,0,0,1
1,wellness,1,0,0,1
1,wellbore,1,0,0,1
1,wei,1,0,0,1
1,wef,1,0,0,1
1,weekend,1,0,0,1
1,wednesday,1,0,0,1
1,website,1,0,0,1
1,wearable,1,0,0,1
1,wbag,1,0,0,1
1,waybill,1,0,0,1
1,watson,1,0,0,1
1,watercraft,1,0,0,1
1,watchlist,1,0,0,1
1,wassily,1,0,0,1
1,wart,1,0,0,1
1,warsaw,1,0,0,1
1,warf,1,0,0,1
1,warehouser,1,0,0,1
1,wam,1,0,0,1
1,walton,1,0,0,1
1,walrasian,1,0,0,1
1,walras,1,0,0,1
1,walmart,1,0,0,1
1,wallpaper,1,0,0,1
1,wallflower,1,0,0,1
1,wala,1,0,0,1
1,wal,1,0,0,1
1,waitress,1,0,0,1
1,wai,1,0,0,1
1,wace,1,0,0,1
1,wacc,1,0,0,1
1,vxn,1,0,0,1
1,vx,1,0,0,1
1,vul,1,0,0,1
1,vsat,1,0,0,1
1,vrdn,1,0,0,1
1,vpt,1,0,0,1
1,vpp,1,0,0,1
1,vpl,1,0,0,1
1,zool,0,0,1,1
1,zenith,0,0,1,1
1,zamelodia,0,0,1,1
1,youthful,0,0,1,1
1,yorker,0,0,1,1
1,yonkers,0,0,1,1
1,yer,0,0,1,1
1,yeoman,0,0,1,1
1,yellowlegs,0,0,1,1
1,yell,0,0,1,1
1,ye,0,0,1,1
1,yardley,0,0,1,1
1,yangtze,0,0,1,1
1,xxxxxxxxxxxxxxxxxxxx,0,0,1,1
1,xxxxxxxxxxxxxxxxxx,0,0,1,1
1,xxxxxxxxxxxxxx,0,0,1,1
1,xxxxxxxxxx,0,0,1,1
1,xxxxxx,0,0,1,1
1,xxl,0,0,1,1
1,wring,0,0,1,1
1,wretched,0,0,1,1
1,wrest,0,0,1,1
1,wrath,0,0,1,1
1,wrangel,0,0,1,1
1,worship,0,0,1,1
1,working,0,0,1,1
1,woodstock,0,0,1,1
1,woodsman,0,0,1,1
1,woodshed,0,0,1,1
1,wonderment,0,0,1,1
1,wolfer,0,0,1,1
1,wither,0,0,1,1
1,withdraw,0,0,1,1
1,withal,0,0,1,1
1,with,0,0,1,1
1,witch,0,0,1,1
1,wis,0,0,1,1
1,wingless,0,0,1,1
1,windsor,0,0,1,1
1,windham,0,0,1,1
1,wilsonii,0,0,1,1
1,wilsonianus,0,0,1,1
1,willson,0,0,1,1
1,willingness,0,0,1,1
1,willful,0,0,1,1
1,wilfred,0,0,1,1
1,wilds,0,0,1,1
1,wildness,0,0,1,1
